,ADF,KPSS
1,-29.867436147580875,0.1
2,-28.01969196228542,0.1
3,-26.722927923706212,0.1
4,-26.995017582235477,0.1
5,-26.316194149513354,0.1
6,-26.00649054760889,0.1
7,-26.92911658404394,0.1
8,-26.212313877558113,0.1
9,-25.326838943574337,0.1
10,-25.40648859219357,0.1
11,-26.003387362457744,0.1
12,-25.413768015006543,0.1
13,-24.607317141389316,0.1
14,-25.82589199282783,0.1
15,-25.680016322500943,0.1
16,-24.580165215569227,0.1
17,-22.845485964480545,0.1
18,-22.17975281335841,0.1
19,-23.634400352811507,0.1
20,-24.89666302774453,0.1
21,-24.561976664592848,0.1
22,-26.630608869461753,0.1
23,-33.345538359872656,0.1
24,-25.2249072111801,0.1
25,-23.06188049252826,0.1
26,-22.37350448265477,0.1
27,-22.223422205994822,0.1
28,-22.382204555833834,0.1
29,-22.303290385107225,0.1
30,-21.623388700245133,0.1
31,-21.01384404607667,0.1
32,-20.568232347737386,0.1
33,-20.648155331747102,0.1
34,-20.89594591458995,0.1
35,-20.9993556184985,0.1
36,-21.50595291802196,0.1
37,-21.651328165914226,0.1
38,-22.952135921028294,0.1
39,-24.87508220149055,0.1
40,-25.044946428557974,0.1
41,-25.798024225775677,0.1
42,-26.092378220344266,0.1
43,-27.440460040086453,0.1
44,-29.818409393232574,0.1
45,-29.089409298673374,0.1
46,-44.039468552926365,0.1
47,-35.40921045667447,0.1
48,-28.269822023978556,0.1
49,-25.837510136807094,0.1
50,-24.860525289881203,0.1
51,-24.140302896265716,0.1
52,-23.786385185387324,0.1
53,-22.96064782934182,0.1
54,-23.45822569059796,0.1
55,-23.604575196278667,0.1
56,-23.61531856258678,0.1
57,-23.28124852015257,0.1
58,-22.975122307853244,0.1
59,-22.70646200182546,0.1
60,-22.243206368870403,0.1
61,-21.794524249428814,0.1
62,-21.237559222896234,0.1
63,-20.74511094687592,0.1
64,-20.400758206069828,0.1
65,-20.38397816830108,0.1
66,-20.343182414166545,0.1
67,-20.20560915274228,0.1
68,-20.206160711506733,0.1
69,-20.063654581152303,0.1
70,-20.164238647850695,0.1
71,-20.064014365696583,0.1
72,-19.975427905639453,0.1
73,-19.860917612518794,0.1
74,-19.84069581456492,0.1
75,-19.711051902515347,0.1
76,-19.8058977594556,0.1
77,-19.76146287005058,0.1
78,-19.766585723964116,0.1
79,-19.845795414573203,0.1
80,-19.85371010690618,0.1
81,-19.713430746526022,0.1
82,-19.744834313940125,0.1
83,-19.711207909731563,0.1
84,-19.84039232963824,0.1
85,-20.15034663226405,0.1
86,-20.224641360155967,0.1
87,-20.439949218161303,0.1
88,-20.562872711528044,0.1
89,-20.519414148877487,0.1
90,-20.569961175294043,0.1
91,-20.463156499129166,0.1
92,-20.450402595137106,0.1
93,-20.50075361731147,0.1
94,-20.680552640760343,0.1
95,-20.616064434732298,0.1
96,-20.826951933973472,0.1
97,-21.077356465403454,0.1
98,-21.134330604868644,0.1
99,-20.98361123687384,0.1
100,-20.9036147013221,0.1
